Gene_id,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides 1,Peptides 2,Razor + unique peptides 1,Razor + unique peptides 2,Unique peptides 1,Unique peptides 2,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Fraction 2,Fraction 11,Fraction 12,Q-value,Score,Identification type 1,Identification type 2,Sequence coverage 1 [%],Sequence coverage 2 [%],Intensity,Intensity 1,Intensity 2,iBAQ,iBAQ 1,iBAQ 2,LFQ intensity 1,LFQ intensity 2,MS/MS count 1,MS/MS count 2,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,DSSTP_K site IDs,Oxidation (M) site IDs,DSSTP_K site positions,Oxidation (M) site positions,Gene_desc,fc1,fc2,fc3,log10_score,log10_intensity,log10_iBAQ,pvalues,mean,log_mean,log_pvalues
Tb927.10.7740,Tb927.10.7740:mRNA-p1,Tb927.10.7740:mRNA-p1,6,6,6,Tb927.10.7740:mRNA-p1 | transcript=Tb927.10.7740:mRNA | gene=Tb927.10.7740 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=protein transport protein SEC23 | transcript_product=protein transport protein SEC23 | location=Tb927_10_v5.1:1945783-194,1,6,6,6,1,6,1,6,1,6,9.9,9.9,9.9,83.30799999999999,744,744,10.6,,1.0,,6.0,0.0,6.6796,By MS/MS,By MS/MS,1.6,9.9,8648600,471990,8545060,298230.0,12427.1,289327.6,201910,2997866,1,6,7,,,,230,157;852;1194;1442;1505;4070,True;True;True;True;True;True,164;892;1248;1504;1568;4262,340;1630;2247;2248;2721;2835;7816,348;1655;2255;2256;2743;2856;8166,348;1655;2256;2743;2856;8166,,162,,400,protein transport protein SEC23,0.09312295269534406,0.09817280517357803,0.03429339442295253,0.8247504560393031,6.936945811339579,5.474551328517133,7.228333327234816e-11,0.0964895210141667,-3.3734839189151407,3.9999996860775857
Tb927.10.7880,Tb927.10.7880:mRNA-p1,Tb927.10.7880:mRNA-p1,2,2,2,"Tb927.10.7880:mRNA-p1 | transcript=Tb927.10.7880:mRNA | gene=Tb927.10.7880 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Sperm tail/Sperm tail C-terminal domain containing protein, putative | transcript_product=Sperm tail/Sperm tail C-termina",1,2,2,2,0,2,0,2,0,2,3.1,3.1,3.1,76.814,651,651,12.0,,,,2.0,0.0,3.2823,,By MS/MS,0.0,3.1,907820,177320,1098980,28369.0,2266.1,29626.6,201910,360336,0,2,2,,,,231,231;1079,True;True,241;1129,483;2045,527;2067,527;2067,,,,,"Sperm tail/Sperm tail C-terminal domain containing protein, putative",0.25544181205204214,0.18249891895803305,0.2910858985072383,0.5161782727531062,5.957999746366688,4.4528440272961625,5.264784214185527e-06,0.20681321665603605,-2.273599709066053,3.9777168954758384
Tb927.10.8040,Tb927.10.8040:mRNA-p1,Tb927.10.8040:mRNA-p1,2,2,2,"Tb927.10.8040:mRNA-p1 | transcript=Tb927.10.8040:mRNA | gene=Tb927.10.8040 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=beta adaptin, putative | transcript_product=beta adaptin, putative | location=Tb927_10_v5.1:2002232-2004319(-) | protein_",1,2,2,2,0,2,0,2,0,2,2.7,2.7,2.7,76.279,695,695,11.5,,,1.0,1.0,0.0033501,0.9829600000000001,,By MS/MS,0.0,2.7,1035000,177320,1226160,30441.0,2266.1,31698.6,201910,356216,0,2,2,,,,232,1126;3261,True;True,1178;3412,2124;6233,2139;6320,2139;6320,,,,,"beta adaptin, putative",0.232267553955067,0.17293580841636866,0.29412694001784007,-0.007464154734222292,6.014940349792936,4.4834589150942135,2.152619842686232e-06,0.1927130569292681,-2.375473772714286,3.99075049081683
Tb927.10.8110,Tb927.10.8110:mRNA-p1,Tb927.10.8110:mRNA-p1,2,2,2,"Tb927.10.8110:mRNA-p1 | transcript=Tb927.10.8110:mRNA | gene=Tb927.10.8110 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Protein of unknown function (DUF2453), putative | transcript_product=Protein of unknown function (DUF2453), putative | lo",1,2,2,2,1,2,1,2,1,2,7.3,7.3,7.3,30.41,274,274,8.67,,1.0,,2.0,0.0096819,0.50993,By MS/MS,By MS/MS,3.6,7.3,1725500,746040,1347960,156860.0,53967.1,106417.6,201910,448526,1,2,3,,,,233,2451;3546,True;True,2547;3709,4654;6820;6821,4720;7031;7032,4720;7031,,,,,"Protein of unknown function (DUF2453), putative",0.9806680092727463,0.8704998708098511,0.2317191760429074,-0.29248943703979063,6.236914963627505,5.195512210674072,0.06491067601070323,0.9072225836308162,-0.14047154093145459,1.1870153179446499
Tb927.10.8170,Tb927.10.8170:mRNA-p1,Tb927.10.8170:mRNA-p1,7,7,7,Tb927.10.8170:mRNA-p1 | transcript=Tb927.10.8170:mRNA | gene=Tb927.10.8170 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Nucleoporin NUP144 | transcript_product=Nucleoporin NUP144 | location=Tb927_10_v5.1:2027749-2031726(-) | protein_length=1,1,7,7,7,1,7,1,7,1,7,5.5,5.5,5.5,144.37,1325,1325,10.7,,1.0,7.0,5.0,0.0,14.825,By MS/MS,By MS/MS,0.7,5.5,10535000,705780,10198160,184830.0,11537.300000000001,176817.6,201910,2807266,1,8,9,,,,234,1310;1807;1901;2685;2916;3861;4213,True;True;True;True;True;True;True,1368;1883;1986;2810;3056;4043;4410,2477;3404;3405;3599;5083;5084;5552;5553;7417;7418;7419;8068;8069,2508;3424;3622;5125;5126;5639;5640;7704;7705;7706;8411,2508;3424;3622;5125;5639;7706;8411,,,,,Nucleoporin NUP144,0.1099318314977616,0.1515597346604269,0.037700128788259187,1.1709947020363003,7.022634539944119,5.266772463513072,4.01595465564304e-07,0.13768376693953846,-2.860569620645824,3.998259385832581
Tb927.10.8190,Tb927.10.8190:mRNA-p1,Tb927.10.8190:mRNA-p1,1,1,1,"Tb927.10.8190:mRNA-p1 | transcript=Tb927.10.8190:mRNA | gene=Tb927.10.8190 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=T-complex protein 1, theta subunit, putative | transcript_product=T-complex protein 1, theta subunit, putative | location",1,1,1,1,0,1,0,1,0,1,2.2,2.2,2.2,58.081,537,537,11.5,,,1.0,1.0,0.0018797,1.324,,By MS/MS,0.0,2.2,808890,177320,1000050,26963.0,2266.1,28220.6,201910,264346,0,2,2,,,,235,575,True,603,1157;1158,1203;1204,1203,,,,,"T-complex protein 1, theta subunit, putative",0.3012677221558706,0.19560390838613687,0.3974034164519804,0.12188798510368115,5.907889466431657,4.430768211711994,2.601503953351443e-05,0.23082517964271476,-2.1151274854435806,3.8995776199884915
Tb927.10.8210,Tb927.10.8210:mRNA-p1,Tb927.10.8210:mRNA-p1,2,2,2,Tb927.10.8210:mRNA-p1 | transcript=Tb927.10.8210:mRNA | gene=Tb927.10.8210 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=KREPA2 | transcript_product=KREPA2 | location=Tb927_10_v5.1:2039516-2041279(-) | protein_length=587 | sequence_SO=chromos,1,2,2,2,0,2,0,2,0,2,3.2,3.2,3.2,62.912,587,587,12.0,,,,2.0,0.0,1.6812,,By MS/MS,0.0,3.2,660080,177320,851240,31432.0,2266.1,32689.6,201910,272576,0,2,2,,,,236,1601;2176,True;True,1667;2266,3018;4150,3023;4166,3023;4166,,,,,KREPA2,0.351787391963998,0.16031564839092488,0.3842998657151289,0.22561938133339943,5.819596574107099,4.49737201580375,0.0002627892848407523,0.22413956291528261,-2.1575307731964433,3.44034554852279
Tb927.10.840,Tb927.10.840:mRNA-p1;Tb11.v5.0753.1-p1,Tb927.10.840:mRNA-p1;Tb11.v5.0753.1-p1,26;13,26;13,26;13,Tb927.10.840:mRNA-p1 | transcript=Tb927.10.840:mRNA | gene=Tb927.10.840 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Flagellum attachment zone protein 6 | transcript_product=Flagellum attachment zone protein 6 | location=Tb927_10_v5.1:218290,2,26,26,26,0,26,0,26,0,26,20.2,20.2,20.2,195.48,1719,1719;708,11.0,,,30.0,1.0,0.0,38.812,,By MS/MS,0.0,20.2,39117000,177320,39308160,420620.0,2266.1,421877.6,201910,7893866,0,26,26,,,,237,201;452;654;844;1515;1534;1594;1682;1868;2008;2096;2100;2165;2179;2272;2301;2395;2416;2636;3422;3458;3556;3728;3916;4062;4235,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,211;476;683;884;1578;1598;1660;1751;1949;1950;2097;2185;2189;2254;2269;2364;2395;2490;2511;2759;3582;3619;3719;3900;3901;4102;4252;4433,421;925;1266;1617;2852;2885;3000;3164;3538;3539;3849;3850;3997;4002;4130;4153;4327;4328;4382;4546;4595;4989;6586;6666;6834;7187;7188;7521;7802;7803;8119,450;958;1301;1644;2870;2902;3004;3152;3560;3561;3866;4010;4015;4148;4169;4369;4370;4431;4592;4668;5043;6776;6855;7046;7462;7463;7867;8149;8150;8470,450;958;1301;1644;2870;2902;3004;3152;3560;3866;4010;4015;4148;4169;4369;4431;4592;4668;5043;6776;6855;7046;7463;7867;8149;8470,,163;164;165;166,,777;781;879;1702,Flagellum attachment zone protein 6,0.005181621905599091,0.01223457604265627,0.013732729691233264,1.5889660227086835,7.592365540046917,5.623889919047242,1.907168721428491e-10,0.009883591330303877,-6.660748925749029,3.999999171727938
Tb927.10.8590,Tb927.10.8590:mRNA-p1,Tb927.10.8590:mRNA-p1,2,2,2,Tb927.10.8590:mRNA-p1 | transcript=Tb927.10.8590:mRNA | gene=Tb927.10.8590 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=flagellum transition zone component | transcript_product=flagellum transition zone component | location=Tb927_10_v5.1:212,1,2,2,2,0,2,0,2,0,2,27.5,27.5,27.5,134.45,1278,1278,11.3,,,2.0,1.0,0.0,3.6257,,By MS/MS,0.0,27.5,3266800,177320,3457960,42984.0,2266.1,44241.6,201910,952316,0,2,2,,,,238,2386;4160,True;True,2481;4354,4528;4529;7967,4576;8320,4576;8320,,,,,flagellum transition zone component,0.08398765147285935,0.11804726718295298,0.1095195857724121,0.5593918665728866,6.5141225469164645,4.633306827560638,1.563712139404057e-07,0.1066940619462551,-3.2284482096254776,3.99932141886119
Tb927.10.8780,Tb927.10.8780:mRNA-p1,Tb927.10.8780:mRNA-p1,7,7,7,"Tb927.10.8780:mRNA-p1 | transcript=Tb927.10.8780:mRNA | gene=Tb927.10.8780 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=AAA domain containing protein, putative | transcript_product=AAA domain containing protein, putative | location=Tb927_10_",1,7,7,7,0,7,0,7,0,7,3.6,3.6,3.6,244.9,2169,2169,11.0,,,7.0,,0.0,5.7859,,By MS/MS,0.0,3.6,11119000,177320,11310160,110080.0,2266.1,111337.6,201910,2293466,0,6,6,,,,239,390;804;1128;1473;2087;3650;4040,True;True;True;True;True;True;True,409;844;1180;1535;2176;3817;4229,799;1559;2127;2771;3983;7019;7768,834;1589;2141;2787;3999;7222;8116,834;1589;2141;2787;3999;7222;8116,,,,,"AAA domain containing protein, putative",0.02320115993717232,0.04890144100267888,0.046495153900115375,0.7623709232933861,7.046065730230688,5.041708420891436,3.808095541861112e-08,0.04033468064751003,-4.631835356430547,3.999834647993775
Tb927.10.8820,Tb927.10.8820:mRNA-p1,Tb927.10.8820:mRNA-p1,1,1,1,"Tb927.10.8820:mRNA-p1 | transcript=Tb927.10.8820:mRNA | gene=Tb927.10.8820 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hook complex protein, conserved | transcript_product=hook complex protein, conserved | location=Tb927_10_v5.1:2179895-218",1,1,1,1,0,1,0,1,0,1,1.6,1.6,1.6,84.70100000000001,766,766,12.0,,,,1.0,0.010057,0.56267,,By MS/MS,0.0,1.6,0,177320,191160,0.0,2266.1,1257.6,201910,38766,0,1,1,,,,240,3153,True,3301,6002,6088,6088,,,,,"hook complex protein, conserved",1.4926911453925609,2.6459847613799767,2.458327712103935,-0.24974623960303868,-inf,-inf,0.030454586032925317,2.261553556050838,1.1773141609633926,1.5149235959184342
Tb927.10.8910,Tb927.10.8910:mRNA-p1,Tb927.10.8910:mRNA-p1,1,1,1,Tb927.10.8910:mRNA-p1 | transcript=Tb927.10.8910:mRNA | gene=Tb927.10.8910 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Nucleoporin NUP181 | transcript_product=Nucleoporin NUP181 | location=Tb927_10_v5.1:2208411-2213405(+) | protein_length=1,1,1,1,1,0,1,0,1,0,1,1.0,1.0,1.0,181.54,1664,1664,11.0,,,1.0,,0.006329100000000001,0.78191,,By MS/MS,0.0,1.0,553970,177320,745130,7588.7,2266.1,8846.3,201910,151106,0,1,1,,,,241,3423,True,3583,6587,6777,6777,,,,,Nucleoporin NUP181,0.4156575945877841,0.5094550880013057,0.7129655173159866,-0.10684323255750139,5.743486246339917,3.8801673844353615,7.551885187181533e-05,0.47818925686346514,-1.0643463764729206,3.755676230627192
Tb927.10.8930,Tb927.10.8930:mRNA-p1,Tb927.10.8930:mRNA-p1,6,6,6,"Tb927.10.8930:mRNA-p1 | transcript=Tb927.10.8930:mRNA | gene=Tb927.10.8930 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=paraflagellar rod component, putative | transcript_product=paraflagellar rod component, putative | location=Tb927_10_v5.1",1,6,6,6,0,6,0,6,0,6,9.7,9.7,9.7,80.014,710,710,11.6,,,6.0,9.0,0.0,9.0871,,By MS/MS,0.0,9.7,28658000,177320,28849160,1061400.0,2266.1,1062657.6,201910,8883466,0,9,9,,,,242,597;1087;2652;3924;4150;4205,True;True;True;True;True;True,625;1137;2775;4110;4344;4401,1193;1194;1195;2061;2062;2063;2064;5011;5012;7534;7535;7951;7952;8050;8051,1237;1238;2080;2081;2082;5062;7880;8307;8394,1237;2082;5062;7880;8307;8394,,,,,"paraflagellar rod component, putative",0.008764887835583783,0.005727462112065714,0.01223457604265627,0.9584253073206185,7.457245878340744,6.025879083293367,6.477896357800625e-12,0.006739937353238404,-7.213049102838383,3.9999999718668544
Tb927.10.8940,Tb927.10.8940:mRNA-p1,Tb927.10.8940:mRNA-p1,12,12,12,"Tb927.10.8940:mRNA-p1 | transcript=Tb927.10.8940:mRNA | gene=Tb927.10.8940 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=flagellum targeting protein kharon1, putative | transcript_product=flagellum targeting protein kharon1, putative | locati",1,12,12,12,1,12,1,12,1,12,32.4,32.4,32.4,45.398,411,411,11.2,,1.0,13.0,14.0,0.0,23.543000000000003,By MS/MS,By MS/MS,2.4,32.4,37173000,491700,37049160,1858600.0,17985.1,1844157.6,201910,10692766,1,21,22,,,,243,633;677;696;850;1538;1619;1988;3212;3343;3371;3595;4262,True;True;True;True;True;True;True;True;True;True;True;True,662;710;729;890;1602;1685;2077;3360;3500;3528;3758;4461,1241;1242;1313;1314;1339;1623;1624;1625;1626;1627;2890;2891;3049;3794;3795;6109;6110;6417;6457;6458;6459;6460;6461;6902;6903;6904;6905;8177,1279;1344;1345;1368;1650;1651;1652;1653;2907;3046;3811;6194;6195;6562;6563;6599;6600;6601;6602;6603;7112;7113;7114;7115;8536,1279;1344;1368;1650;2907;3046;3811;6194;6563;6601;7114;8536,,,,,"flagellum targeting protein kharon1, putative",0.020200194293784217,0.02339558334220919,0.010216318176514671,1.3718618026208953,7.570227611697569,6.269185932813952,8.452582431861826e-12,0.022330453659400867,-5.484843628917984,3.9999999632909025
Tb927.10.9040,Tb927.10.9040:mRNA-p1;Tb11.v5.0509.1-p1,Tb927.10.9040:mRNA-p1;Tb11.v5.0509.1-p1,2;1,2;1,2;1,"Tb927.10.9040:mRNA-p1 | transcript=Tb927.10.9040:mRNA | gene=Tb927.10.9040 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_10_v5.1:2239488-224",2,2,2,2,0,2,0,2,0,2,1.3,1.3,1.3,168.22,1540,1540;418,11.0,,,2.0,,0.0,1.5987,,By MS/MS,0.0,1.3,860140,177320,1051300,11027.0,2266.1,12284.6,201910,213196,0,2,2,,,,244,290;1435,True;True,305;1497,573;2714,611;2736,611;2736,,,,,"hypothetical protein, conserved",0.26352090252345,0.38283637184004277,0.48335313354446313,0.20376697496057425,5.934569144591319,4.042457374574321,7.867273702883753e-05,0.34306454873451186,-1.5434480450845565,3.7479417097283334
Tb927.10.9240,Tb927.10.9240:mRNA-p1,Tb927.10.9240:mRNA-p1,1,1,1,"Tb927.10.9240:mRNA-p1 | transcript=Tb927.10.9240:mRNA | gene=Tb927.10.9240 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Tir chaperone protein (CesT) family, putative | transcript_product=Tir chaperone protein (CesT) family, putative | locati",1,1,1,1,0,1,0,1,0,1,3.0,3.0,3.0,39.755,365,365,12.0,,,,1.0,0.007837,0.74917,,By MS/MS,0.0,3.0,934110,177320,1125270,66722.0,2266.1,67979.6,201910,369646,0,1,1,,,,245,1404,True,1465,2664,2687,2687,,,,,"Tir chaperone protein (CesT) family, putative",0.24768324201923184,0.07354556512426043,0.28423785917982297,-0.12541962197394785,5.970398021390779,4.824269055854288,0.00011628259761016552,0.13159145742258424,-2.9258622588088694,3.664978423075577
Tb927.10.9570,Tb927.10.9570:mRNA-p1;Tb11.v5.0579.1-p1,Tb927.10.9570:mRNA-p1;Tb11.v5.0579.1-p1,25;14,25;14,25;14,"Tb927.10.9570:mRNA-p1 | transcript=Tb927.10.9570:mRNA | gene=Tb927.10.9570 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=paraflagellar rod component, putative | transcript_product=paraflagellar rod component, putative | location=Tb927_10_v5.1",2,25,25,25,8,25,8,25,8,25,28.3,28.3,28.3,118.67,1082,1082;608,10.3,,9.0,24.0,35.0,0.0,87.68799999999999,By MS/MS,By MS/MS,7.9,28.3,190200000,8953320,181611160,3396400.0,158976.1,3240857.6,11304910,53874766,8,57,65,,,,246,950;1105;1282;1521;1675;1676;1703;1734;1804;1811;1884;2101;2178;2295;2439;2440;2565;2628;2819;3438;3619;3703;3813;4001;4226,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,996;1157;1340;1584;1742;1743;1744;1774;1809;1880;1887;1968;1969;2190;2268;2389;2535;2536;2677;2751;2954;3598;3784;3874;3992;4189;4424,1814;1815;2089;2090;2091;2092;2093;2094;2428;2429;2430;2431;2432;2860;2861;2862;2863;3145;3146;3147;3148;3149;3150;3151;3152;3193;3194;3258;3391;3392;3393;3394;3395;3411;3412;3413;3414;3573;3574;4003;4004;4152;4365;4366;4637;4638;4639;4640;4864;4865;4975;4976;5357;6623;6624;6625;6955;6956;6957;7148;7149;7336;7685;7686;7687;8102;8103;8104,1849;1850;1851;1852;2105;2106;2107;2108;2109;2110;2465;2466;2467;2468;2469;2877;2878;2879;2880;3136;3137;3138;3139;3140;3183;3184;3261;3409;3410;3411;3412;3413;3414;3428;3429;3430;3431;3432;3600;3601;4016;4017;4168;4404;4705;4706;4707;4708;4916;5029;5030;5407;6815;6816;6817;7163;7164;7165;7424;7615;8026;8027;8028;8029;8454;8455;8456,1851;2105;2467;2877;3136;3140;3183;3261;3410;3429;3600;4017;4168;4404;4705;4707;4916;5030;5407;6815;7165;7424;7615;8027;8454,,167;168;169;170;171,,245;248;601;757;762,"paraflagellar rod component, putative",0.07895434533599072,0.11242731429986504,0.10825541964088715,1.942940164741608,8.279210512601395,6.531018832208792,1.4238998163813935e-07,0.10126965797857358,-3.3037261106883706,3.999382048013489
Tb927.10.9720,Tb927.10.9720:mRNA-p1,Tb927.10.9720:mRNA-p1,1,1,1,Tb927.10.9720:mRNA-p1 | transcript=Tb927.10.9720:mRNA | gene=Tb927.10.9720 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=RNA-editing-associated protein 1 | transcript_product=RNA-editing-associated protein 1 | location=Tb927_10_v5.1:2403396-2,1,1,1,1,0,1,0,1,0,1,13.0,13.0,13.0,64.376,591,591,12.0,,,,1.0,0.0,1.7671,,By MS/MS,0.0,13.0,1632500,177320,1823660,46644.0,2266.1,47901.6,201910,617046,0,1,1,,,,247,4098,True,4290,7856,8203,8203,,,,,RNA-editing-associated protein 1,0.15571356883992696,0.10746801863283162,0.16727947671687346,0.24726112688046706,6.212853189947111,4.668795786678891,6.785975441446353e-07,0.1235498687018634,-3.0168346173916176,3.997062842816576
Tb927.11.4300,Tb927.11.4300:mRNA-p1;Tb927.10.9880:mRNA-p1,Tb927.11.4300:mRNA-p1;Tb927.10.9880:mRNA-p1,2;2,2;2,2;2,"Tb927.11.4300:mRNA-p1 | transcript=Tb927.11.4300:mRNA | gene=Tb927.11.4300 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L18, putative | transcript_product=60S ribosomal protein L18, putative | location=Tb927_11_v5.1:125",2,2,2,2,0,2,0,2,0,2,8.3,8.3,8.3,21.874000000000002,193,193;193,11.5,,,2.0,2.0,0.0,1.6880000000000002,,By MS/MS,0.0,8.3,16032000,177320,16223160,2290200.0,2266.1,2291457.6,201910,4711766,0,3,3,,,,248,1543;3713,True;True,1607;3885,2904;2905;7164;7165,2918;7441;7442,2918;7441,,,,,"60S ribosomal protein L18, putative",0.014814331396052746,0.0036172889230723705,0.02215490702683291,0.2273724422896363,7.204987704187151,6.359873410332742,1.1990944113359096e-09,0.00734963641406583,-7.088111402957781,3.9999947924303605
Tb927.10.9890,Tb927.10.9890:mRNA-p1;Tb11.v5.0458.1-p1,Tb927.10.9890:mRNA-p1,9;2,9;2,9;2,"Tb927.10.9890:mRNA-p1 | transcript=Tb927.10.9890:mRNA | gene=Tb927.10.9890 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_10_v5.1:2442363-244",2,9,9,9,1,9,1,9,1,9,10.2,10.2,10.2,97.19200000000001,871,871;209,11.0,,1.0,2.0,9.0,0.0,5.3098,By MS/MS,By MS/MS,1.4,10.2,29184000,601830,28950160,595590.0,10929.6,588187.6,201910,10097766,1,9,10,,,,249,57;221;537;716;2260;2492;2504;2933;3435,True;True;True;True;True;True;True;True;True,59;231;564;752;2351;2589;2601;3074;3595,125;126;461;462;1095;1096;1394;4312;4729;4746;5589;6618,125;126;491;1146;1430;4353;4784;4801;5672;6811,126;491;1146;1430;4353;4784;4801;5672;6811,,172;173,,159;334,"hypothetical protein, conserved",0.030832304350491307,0.04431603153650521,0.010931954532350402,0.7250781631658039,7.465144816648322,5.774947397304991,2.8802794961117244e-09,0.03982145580783391,-4.650310225161551,3.999987491285227
Tb927.10.9970,Tb927.10.9970:mRNA-p1,Tb927.10.9970:mRNA-p1,1,1,1,"Tb927.10.9970:mRNA-p1 | transcript=Tb927.10.9970:mRNA | gene=Tb927.10.9970 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_10_v5.1:2460038-246",1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,110.0,1024,1024,7.0,,1.0,,1.0,0.0035210999999999997,1.1524,By MS/MS,By MS/MS,1.0,1.0,201910,379230,191160,4038.1,6304.2,1257.6,403820,38766,1,1,2,,,,250,3891,True,4076,7478;7479,7826;7827,7827,,,,,"hypothetical protein, conserved",8.34147772822137,13.342117273606746,4.481100675235806,0.061603249608375384,5.305157828786486,3.6061770696622117,0.00305330472481752,11.675237425144955,3.545379983460103,2.50123405845854
Tb927.10.9980,Tb927.10.9980:mRNA-p1,Tb927.10.9980:mRNA-p1,1,1,1,"Tb927.10.9980:mRNA-p1 | transcript=Tb927.10.9980:mRNA | gene=Tb927.10.9980 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_10_v5.1:2463679-246",1,1,1,1,0,1,0,1,0,1,3.5,3.5,3.5,36.971,341,341,12.0,,,,1.0,0.0,1.7446,,By MS/MS,0.0,3.5,0,177320,191160,0.0,2266.1,1257.6,201910,38766,0,1,1,,,,251,1464,True,1526,2760,2776,2776,,,,,"hypothetical protein, conserved",1.4926911453925609,2.6459847613799767,2.458327712103935,0.24169586813981003,-inf,-inf,0.030454586032925317,2.261553556050838,1.1773141609633926,1.5149235959184342
Tb927.11.10120,Tb927.11.10120:mRNA-p1,Tb927.11.10120:mRNA-p1,3,3,3,"Tb927.11.10120:mRNA-p1 | transcript=Tb927.11.10120:mRNA | gene=Tb927.11.10120 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_11_v5.1:2710406-",1,3,3,3,0,3,0,3,0,3,4.0,4.0,4.0,92.37700000000001,802,802,12.0,,,,3.0,0.0,3.6181,,By MS/MS,0.0,4.0,2189600,177320,2380760,56144.0,2266.1,57401.6,201910,814366,0,2,2,,,,252,790;798;2834,True;True;True,830;838;2970,1535;1549;5380,1570;1581;5426,1570;1581;5426,,,,,"hypothetical protein, conserved",0.11701124854069911,0.09106683263455632,0.1285060635399834,0.5584805660749325,6.340364784402067,4.749303350871331,5.1056917713621905e-08,0.09971497126993727,-3.3260460617272716,3.9997783192106144
Tb927.11.10330,Tb927.11.10330:mRNA-p1,Tb927.11.10330:mRNA-p1,10,10,10,Tb927.11.10330:mRNA-p1 | transcript=Tb927.11.10330:mRNA | gene=Tb927.11.10330 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=regulator of chromosome condensation 1-like protein | transcript_product=regulator of chromosome condensation 1-like p,1,10,10,10,0,10,0,10,0,10,14.7,14.7,14.7,70.392,646,646,12.0,,,,10.0,0.0,22.899,,By MS/MS,0.0,14.7,42003000,177320,42194160,1312600.0,2266.1,1313857.6,201910,14916766,0,12,12,,,,253,59;1014;1417;1950;2188;2328;3210;3416;3596;3810,True;True;True;True;True;True;True;True;True;True,62;1063;1478;2039;2278;2422;3358;3576;3759;3989,134;1929;2680;3718;4167;4423;6107;6580;6906;7331,136;1960;2701;2702;3739;4192;4476;4477;6192;6770;7116;7610,136;1960;2702;3739;4192;4476;6192;6770;7116;7610,,174,,91,regulator of chromosome condensation 1-like protein,0.004922104790875515,0.00464572385589397,0.007088654434706594,1.3598165171012595,7.623280310324481,6.1181323999209045,4.4050270798354784e-16,0.004737850834221152,-7.721551506961328,3.999999999998087
Tb927.11.10430,Tb927.11.10430:mRNA-p1,Tb927.11.10430:mRNA-p1,6,6,6,"Tb927.11.10430:mRNA-p1 | transcript=Tb927.11.10430:mRNA | gene=Tb927.11.10430 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_11_v5.1:2778167-",1,6,6,6,0,6,0,6,0,6,10.6,10.6,10.6,63.675,568,568,12.0,,,,6.0,0.0,10.228,,By MS/MS,0.0,10.6,4155900,177320,4347060,153920.0,2266.1,155177.6,201910,1510866,0,6,6,,,,254,378;905;967;2402;3464;3782,True;True;True;True;True;True,397;947;1013;2497;3625;3959,774;1723;1850;4556;6679;7279,806;1743;1882;4602;6869;7551,806;1743;1882;4602;6869;7551,,175,,441,"hypothetical protein, conserved",0.0637935196680215,0.036741429637665794,0.07024053675790244,1.0097907193542979,6.618665088940316,5.187295054693737,4.7816563431358914e-08,0.0457587929811177,-4.44980719235952,3.9997923849368213
